id,key,value,type
12199688,upload_uuid,bulk_upload.pl-fd7bfe10-7a28-44e7-b196-d2b35d899d00,tiger
12199723,highway,motorway,regular
12199723,name,Moanalua Fwy,regular
12199723,oneway,yes,regular
12199723,ref,HI 78,regular
12199723,cfcc,A21,tiger
12199723,county,"Honolulu, HI",tiger
12199723,name_base,State Highway 78,tiger
12199723,name_base_1,Moanalua,tiger
12199723,name_base_2,State Highway 99,tiger
12199723,name_type_1,Rd,tiger
12199754,highway,residential,regular
12199754,cfcc,A41,tiger
12199754,tlid,203251010:203232846,tiger
12199754,county,"Honolulu, HI",tiger
12199754,source,tiger_import_dch_v0.6_20070809,tiger
12199754,reviewed,no,tiger
12199754,separated,no,tiger
12199754,upload_uuid,bulk_upload.pl-fd7bfe10-7a28-44e7-b196-d2b35d899d00,tiger
12199777,access,private,regular
12199777,highway,service,regular
12199777,service,driveway,regular
12199777,cfcc,A41,tiger
12199777,county,"Honolulu, HI",tiger
12199777,reviewed,no,tiger
12199798,access,private,regular
12199798,highway,service,regular
12199798,service,driveway,regular
12199854,destination,Ala Wai Boulevard,regular
12199854,highway,secondary,regular
12199854,name,Ala Wai Boulevard,regular
12199854,oneway,yes,regular
12199854,sidewalk,both,regular
12199854,surface,asphalt,regular
12199854,cfcc,A41,tiger
12199854,county,"Honolulu, HI",tiger
12199854,name_base,Ala Wai,tiger
12199854,name_type,Blvd,tiger
12199854,reviewed,no,tiger
12199891,access,private,regular
12199891,highway,unclassified,regular
12199891,name,Paalaa Uka Pupukea Road,regular
12199891,cfcc,A41,tiger
12199891,county,"Honolulu, HI",tiger
12199891,name_base,Paalaa Uka Pupukea,tiger
12199891,name_type,Rd,tiger
12199918,highway,service,regular
12199918,service,parking_aisle,regular
12199951,power,line,regular
12199951,cfcc,C20,tiger
12200006,highway,residential,regular
12200006,cfcc,A41,tiger
12200006,tlid,203261515:203261516,tiger
12200006,county,"Honolulu, HI",tiger
12200006,source,tiger_import_dch_v0.6_20070809,tiger
12200006,reviewed,no,tiger
12200006,separated,no,tiger
12200006,upload_uuid,bulk_upload.pl-fd7bfe10-7a28-44e7-b196-d2b35d899d00,tiger
12200017,highway,residential,regular
12200017,cfcc,A41,tiger
12200017,tlid,203250774,tiger
12200017,county,"Honolulu, HI",tiger
12200017,source,tiger_import_dch_v0.6_20070809,tiger
12200017,reviewed,no,tiger
12200017,separated,no,tiger
12200017,upload_uuid,bulk_upload.pl-fd7bfe10-7a28-44e7-b196-d2b35d899d00,tiger
12200033,highway,residential,regular
12200033,cfcc,A41,tiger
12200033,tlid,203223341,tiger
12200033,county,"Honolulu, HI",tiger
12200033,source,tiger_import_dch_v0.6_20070809,tiger
12200033,reviewed,no,tiger
12200033,separated,no,tiger
12200033,upload_uuid,bulk_upload.pl-fd7bfe10-7a28-44e7-b196-d2b35d899d00,tiger
12200061,highway,trunk_link,regular
12200061,name,State Highway 83,regular
12200061,name_1,Kamehameha Highway,regular
12200061,oneway,yes,regular
12200061,ref,83,regular
12200061,cfcc,A21,tiger
12200061,county,"Honolulu, HI",tiger
12200061,name_base,State Highway 83,tiger
12200061,name_base_1,Kamehameha,tiger
12200061,name_type_1,Hwy,tiger
12200061,reviewed,no,tiger
12200080,oneway,yes,regular
12200080,highway,motorway_link,regular
12200080,cfcc,A63,tiger
12200080,tlid,203231610:203231584:203231594,tiger
12200080,county,"Honolulu, HI",tiger
12200080,source,tiger_import_dch_v0.6_20070809,tiger
12200080,reviewed,no,tiger
12200080,upload_uuid,bulk_upload.pl-fd7bfe10-7a28-44e7-b196-d2b35d899d00,tiger
12200115,highway,residential,regular
12200115,cfcc,A41,tiger
12200115,tlid,203223779:203223785,tiger
