id,key,value,type
88996020,created_by,JOSM,regular
88996579,created_by,JOSM,regular
88996596,created_by,JOSM,regular
88999030,created_by,JOSM,regular
88999162,created_by,JOSM,regular
89001585,created_by,JOSM,regular
89001651,created_by,JOSM,regular
89003675,created_by,JOSM,regular
89003679,created_by,JOSM,regular
89003714,created_by,JOSM,regular
89005093,created_by,JOSM,regular
89005175,created_by,JOSM,regular
89005258,created_by,JOSM,regular
89005475,created_by,JOSM,regular
89005480,created_by,JOSM,regular
89005541,created_by,JOSM,regular
89005982,created_by,JOSM,regular
91296994,created_by,JOSM,regular
91297023,created_by,JOSM,regular
91298328,created_by,JOSM,regular
91298355,created_by,JOSM,regular
91298365,created_by,JOSM,regular
91299173,created_by,JOSM,regular
91300096,created_by,JOSM,regular
91300110,created_by,JOSM,regular
91304205,created_by,JOSM,regular
91304218,created_by,JOSM,regular
91304274,created_by,JOSM,regular
91304304,created_by,JOSM,regular
91304318,created_by,JOSM,regular
91304326,created_by,JOSM,regular
91304333,created_by,JOSM,regular
91304342,created_by,JOSM,regular
91305479,created_by,JOSM,regular
91307295,created_by,JOSM,regular
91307305,created_by,JOSM,regular
91325597,created_by,JOSM,regular
91325682,created_by,JOSM,regular
91325687,created_by,JOSM,regular
91326774,created_by,JOSM,regular
91326780,created_by,JOSM,regular
91537139,state,HI,addr
91537139,aeroway,aerodrome,regular
91537139,ele,0,regular
91537139,faa,BKH,regular
91537139,county_name,Kauai,gnis
91537139,created,09/01/1994,gnis
91537139,edited,06/02/2006,gnis
91537139,feature_id,365436,gnis
91537139,feature_type,Airport,gnis
91537139,iata,BKH,regular
91537139,icao,PHBK,regular
91537139,name,Barking Sands Pacific Missile Range Facility Airport,regular
91537139,ref,PHBK,regular
91551170,aeroway,holding_position,regular
110500663,highway,traffic_signals,regular
110500663,traffic_signals,signal,regular
110501946,highway,turning_circle,regular
110503888,ref,5,regular
110503888,highway,motorway_junction,regular
110517473,highway,turning_circle,regular
110520055,highway,turning_circle,regular
110521325,power,tower,regular
110529362,highway,turning_circle,regular
110532306,highway,turning_circle,regular
110532973,highway,traffic_signals,regular
110532973,traffic_signals,signal,regular
110533078,highway,turning_circle,regular
110533591,highway,turning_circle,regular
110535747,highway,traffic_signals,regular
110536892,highway,turning_circle,regular
110536892,source,Bing,regular
110537124,highway,turning_circle,regular
110537124,source,Bing,regular
110537741,noexit,yes,regular
110537813,highway,turning_circle,regular
110537848,highway,traffic_signals,regular
110538088,highway,turning_circle,regular
110538891,noexit,yes,regular
110539252,highway,turning_circle,regular
110539263,highway,traffic_signals,regular
